Name,Median Incomes,currency,incomes,zipcoded
Zip Code 11104,Families with Children,Dollars,62898,11104
Zip Code 11104,Families without Children,Dollars,86176,11104
Zip Code 11104,Families,Dollars,76895,11104
Zip Code 11104,All Households,Dollars,67751,11104
Zip Code 11105,All Households,Dollars,79883,11105
Zip Code 11105,Families without Children,Dollars,90222,11105
Zip Code 11105,Families,Dollars,90013,11105
Zip Code 11105,Families with Children,Dollars,89266,11105
Zip Code 11106,Families without Children,Dollars,84849,11106
Zip Code 11106,Families,Dollars,78526,11106
Zip Code 11106,All Households,Dollars,68530,11106
Zip Code 11106,Families with Children,Dollars,60128,11106
Zip Code 11109,All Households,Dollars,160625,11109
Zip Code 11109,Families with Children,Dollars,199796,11109
Zip Code 11109,Families without Children,Dollars,200030,11109
Zip Code 11109,Families,Dollars,199823,11109
Zip Code 11201,Families with Children,Dollars,212770,11201
Zip Code 11201,Families without Children,Dollars,153573,11201
Zip Code 11201,Families,Dollars,176004,11201
Zip Code 11201,All Households,Dollars,129248,11201
Zip Code 11203,All Households,Dollars,54457,11203
Zip Code 11203,Families with Children,Dollars,52683,11203
Zip Code 11203,Families,Dollars,68184,11203
Zip Code 11203,Families without Children,Dollars,74184,11203
Zip Code 11204,Families with Children,Dollars,55430,11204
Zip Code 11204,All Households,Dollars,53093,11204
Zip Code 11204,Families without Children,Dollars,61938,11204
Zip Code 11204,Families,Dollars,58848,11204
Zip Code 11205,All Households,Dollars,58872,11205
Zip Code 11205,Families,Dollars,60319,11205
Zip Code 11205,Families with Children,Dollars,52478,11205
Zip Code 11205,Families without Children,Dollars,76273,11205
Zip Code 11206,Families without Children,Dollars,43341,11206
Zip Code 11206,Families with Children,Dollars,31411,11206
Zip Code 11206,All Households,Dollars,39753,11206
Zip Code 11206,Families,Dollars,38430,11206
Zip Code 11207,All Households,Dollars,39382,11207
Zip Code 11207,Families with Children,Dollars,41909,11207
Zip Code 11207,Families,Dollars,51643,11207
Zip Code 11207,Families without Children,Dollars,60492,11207
Zip Code 11208,Families without Children,Dollars,58472,11208
Zip Code 11208,Families,Dollars,50726,11208
Zip Code 11208,All Households,Dollars,42403,11208
Zip Code 11208,Families with Children,Dollars,42306,11208
Zip Code 11209,All Households,Dollars,77917,11209
Zip Code 11209,Families with Children,Dollars,105378,11209
Zip Code 11209,Families without Children,Dollars,99627,11209
Zip Code 11209,Families,Dollars,101737,11209
Zip Code 11210,Families with Children,Dollars,77935,11210
Zip Code 11210,Families,Dollars,80453,11210
Zip Code 11210,Families without Children,Dollars,80736,11210
Zip Code 11210,All Households,Dollars,69385,11210
Zip Code 11211,Families,Dollars,63639,11211
Zip Code 11211,Families with Children,Dollars,51088,11211
Zip Code 11211,Families without Children,Dollars,80625,11211
Zip Code 11211,All Households,Dollars,81228,11211
Zip Code 11212,Families without Children,Dollars,48587,11212
Zip Code 11212,Families,Dollars,41115,11212
Zip Code 11212,Families with Children,Dollars,31196,11212
Zip Code 11212,All Households,Dollars,26521,11212
Zip Code 11213,All Households,Dollars,44831,11213
Zip Code 11213,Families with Children,Dollars,45618,11213
Zip Code 11213,Families,Dollars,51262,11213
Zip Code 11213,Families without Children,Dollars,61229,11213
Zip Code 11214,Families,Dollars,64478,11214
Zip Code 11214,All Households,Dollars,56911,11214
Zip Code 11214,Families with Children,Dollars,59230,11214
Zip Code 11214,Families without Children,Dollars,70241,11214
Zip Code 11215,All Households,Dollars,132091,11215
Zip Code 11215,Families,Dollars,170511,11215
Zip Code 11215,Families without Children,Dollars,149919,11215
Zip Code 11215,Families with Children,Dollars,198075,11215
Zip Code 11216,All Households,Dollars,67795,11216
Zip Code 11216,Families without Children,Dollars,76490,11216
Zip Code 11216,Families,Dollars,79242,11216
Zip Code 11216,Families with Children,Dollars,90183,11216
Zip Code 11217,Families,Dollars,145365,11217
Zip Code 11217,Families with Children,Dollars,174612,11217
Zip Code 11217,Families without Children,Dollars,122331,11217
Zip Code 11217,All Households,Dollars,119375,11217
Zip Code 11218,Families without Children,Dollars,83956,11218
Zip Code 11218,Families,Dollars,80422,11218
Zip Code 11218,Families with Children,Dollars,76073,11218
Zip Code 11218,All Households,Dollars,73470,11218
Zip Code 11219,Families without Children,Dollars,52323,11219
Zip Code 11219,Families,Dollars,41839,11219
Zip Code 11219,All Households,Dollars,40683,11219
Zip Code 11219,Families with Children,Dollars,37642,11219
Zip Code 11220,Families with Children,Dollars,39276,11220
Zip Code 11220,All Households,Dollars,50191,11220
Zip Code 11220,Families,Dollars,47150,11220
Zip Code 11220,Families without Children,Dollars,55656,11220
Zip Code 11221,Families,Dollars,61331,11221
Zip Code 11221,Families without Children,Dollars,63711,11221
Zip Code 11221,Families with Children,Dollars,57606,11221
Zip Code 11221,All Households,Dollars,56900,11221
Zip Code 11222,Families,Dollars,105557,11222
Zip Code 11222,All Households,Dollars,93488,11222
Zip Code 11222,Families without Children,Dollars,95679,11222
Zip Code 11222,Families with Children,Dollars,125326,11222
Zip Code 11223,Families without Children,Dollars,70825,11223
Zip Code 11223,Families with Children,Dollars,56319,11223
Zip Code 11223,Families,Dollars,65254,11223
Zip Code 11223,All Households,Dollars,54023,11223
Zip Code 11224,Families,Dollars,43584,11224
Zip Code 11224,Families without Children,Dollars,45255,11224
Zip Code 11224,All Households,Dollars,32549,11224
Zip Code 11224,Families with Children,Dollars,40706,11224
Zip Code 11225,Families with Children,Dollars,49952,11225
Zip Code 11225,All Households,Dollars,59820,11225
Zip Code 11225,Families,Dollars,65968,11225
Zip Code 11225,Families without Children,Dollars,75721,11225
Zip Code 11226,Families without Children,Dollars,69486,11226
Zip Code 11226,Families with Children,Dollars,56446,11226
Zip Code 11226,All Households,Dollars,58257,11226
Zip Code 11226,Families,Dollars,65178,11226
Zip Code 11228,All Households,Dollars,72902,11228
Zip Code 11228,Families,Dollars,84054,11228
Zip Code 11228,Families without Children,Dollars,85298,11228
Zip Code 11228,Families with Children,Dollars,83297,11228
Zip Code 11229,Families with Children,Dollars,77106,11229
Zip Code 11229,Families,Dollars,81481,11229
Zip Code 11229,Families without Children,Dollars,83701,11229
Zip Code 11229,All Households,Dollars,64631,11229
Zip Code 11230,Families with Children,Dollars,61640,11230
Zip Code 11230,All Households,Dollars,53070,11230
Zip Code 11230,Families without Children,Dollars,72023,11230
Zip Code 11230,Families,Dollars,66240,11230
Zip Code 11231,Families without Children,Dollars,114776,11231
Zip Code 11231,Families with Children,Dollars,157463,11231
Zip Code 11231,Families,Dollars,141500,11231
Zip Code 11231,All Households,Dollars,99643,11231
Zip Code 11232,Families without Children,Dollars,73433,11232
Zip Code 11232,Families with Children,Dollars,46942,11232
Zip Code 11232,All Households,Dollars,61200,11232
Zip Code 11232,Families,Dollars,58913,11232
Zip Code 11233,Families without Children,Dollars,62063,11233
Zip Code 11233,All Households,Dollars,44905,11233
Zip Code 11233,Families,Dollars,48545,11233
Zip Code 11233,Families with Children,Dollars,39279,11233
Zip Code 11234,All Households,Dollars,85807,11234
Zip Code 11234,Families with Children,Dollars,98967,11234
Zip Code 11234,Families,Dollars,95976,11234
Zip Code 11234,Families without Children,Dollars,94328,11234
Zip Code 11235,Families without Children,Dollars,72566,11235
Zip Code 11235,Families,Dollars,71542,11235
Zip Code 11235,Families with Children,Dollars,70663,11235
Zip Code 11235,All Households,Dollars,54646,11235
Zip Code 11236,All Households,Dollars,70793,11236
Zip Code 11236,Families with Children,Dollars,74329,11236
Zip Code 11236,Families,Dollars,82853,11236
Zip Code 11236,Families without Children,Dollars,87984,11236
Zip Code 11237,Families without Children,Dollars,51954,11237
